COWNNUM,OCCPCODE,CLTSEX,MARRYD,CLTTYPE,BILLCHNL,Count_product,Age_Product1,Age,Product_1,Product_2
10064774,1078,F,M,P,C,1,1,31,01_Endowment,01_Endowment
10065026,1450,F,M,P,C,1,1,31,02_CI Endowment,01_Endowment
10065649,2025,F,M,P,C,1,1,34,01_Endowment,01_Endowment
10065960,1078,F,M,P,C,1,1,37,01_Endowment,01_Endowment
10066213,1078,F,M,P,C,1,1,33,01_Endowment,01_Endowment
10066879,231,M,M,P,C,1,1,32,01_Endowment,01_Endowment
10067397,1516,M,M,P,C,1,1,57,02_CI Endowment,01_Endowment
10067611,1078,F,M,P,C,1,1,40,02_CI Endowment,01_Endowment
10069711,1078,F,M,P,C,1,1,38,01_Endowment,01_Endowment
10069829,1078,F,M,P,C,1,1,45,01_Endowment,01_Endowment
10069924,1516,F,M,P,C,1,1,24,01_Endowment,01_Endowment
10070150,1078,F,M,P,C,1,1,46,02_CI Endowment,01_Endowment
10070345,213,F,M,P,C,1,1,33,05_ILP 2016 - Prulink,01_Endowment
10070384,2025,F,M,P,C,1,1,41,01_Endowment,01_Endowment
10071641,1078,F,M,P,C,1,1,28,02_CI Endowment,01_Endowment
10071878,218,F,M,P,C,1,1,39,02_CI Endowment,01_Endowment
10071888,1516,F,M,P,C,1,1,53,02_CI Endowment,01_Endowment
10072337,1516,M,M,P,C,1,1,49,02_CI Endowment,01_Endowment
10072358,448,F,M,P,C,1,1,30,01_Endowment,01_Endowment
10073063,801,F,S,P,C,1,1,21,02_CI Endowment,01_Endowment
10073137,1078,F,M,P,C,1,1,37,02_CI Endowment,01_Endowment
10073244,2025,F,M,P,C,1,1,31,05_ILP 2016 - Prulink,01_Endowment
10073268,2019,M,M,P,C,1,1,51,02_CI Endowment,01_Endowment
10073346,1078,F,M,P,C,1,1,36,01_Endowment,01_Endowment
10073552,218,F,M,P,C,1,1,35,01_Endowment,01_Endowment
10073632,801,F,M,P,C,1,1,53,02_CI Endowment,01_Endowment
10073754,1422,M,M,P,C,1,1,37,01_Endowment,01_Endowment
10073798,218,M,M,P,C,1,1,32,01_Endowment,01_Endowment
10074466,1489,F,M,P,C,1,1,53,02_CI Endowment,01_Endowment
10074524,478,M,M,P,C,1,1,40,01_Endowment,01_Endowment
10074611,1516,F,M,P,C,1,1,34,02_CI Endowment,01_Endowment
10074642,448,F,M,P,C,1,1,34,01_Endowment,01_Endowment
10074728,801,F,M,P,C,1,1,29,02_CI Endowment,01_Endowment
